"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"346",0.49,1,"conj","F1",0,"1","F"
"347",0.49,1,"conj","A2",1.59855136171269,"2","A"
"348",0.49,1,"conj","M2",1.24222178616655,"2","M"
"349",0.49,1,"conj","F2",12954537.4436779,"2","F"
"350",0.49,1,"conj","C",993126212.482,"C","C"
"351",0.5,1,"conj","A1",127063.478055017,"1","A"
"352",0.5,1,"conj","M1",13986320.167296,"1","M"
"353",0.5,1,"conj","F1",0,"1","F"
"354",0.5,1,"conj","A2",1.64353011133799,"2","A"
"355",0.5,1,"conj","M2",1.27962811753417,"2","M"
"356",0.5,1,"conj","F2",13023153.2448265,"2","F"
"357",0.5,1,"conj","C",992963460.186664,"C","C"
"358",0.51,1,"conj","A1",127673.591553494,"1","A"
"359",0.51,1,"conj","M1",14080478.8847919,"1","M"
"360",0.51,1,"conj","F1",0,"1","F"
"361",0.51,1,"conj","A2",1.68910241654934,"2","A"
"362",0.51,1,"conj","M2",1.3176366096057,"2","M"
"363",0.51,1,"conj","F2",13092132.36757,"2","F"
"364",0.51,1,"conj","C",992799712.149346,"C","C"
"365",0.52,1,"conj","A1",128286.633591229,"1","A"
"366",0.52,1,"conj","M1",14175271.3418078,"1","M"
"367",0.52,1,"conj","F1",0,"1","F"
"368",0.52,1,"conj","A2",1.73527494780207,"2","A"
"369",0.52,1,"conj","M2",1.35625554062901,"2","M"
"370",0.52,1,"conj","F2",13161476.7343693,"2","F"
"371",0.52,1,"conj","C",992634962.198701,"C","C"
"372",0.53,1,"conj","A1",128902.618213807,"1","A"
"373",0.53,1,"conj","M1",14270701.8016946,"1","M"
"374",0.53,1,"conj","F1",0,"1","F"
"375",0.53,1,"conj","A2",1.78205444621264,"2","A"
"376",0.53,1,"conj","M2",1.39549329549566,"2","M"
"377",0.53,1,"conj","F2",13231188.2778419,"2","F"
"378",0.53,1,"conj","C",992469204.124702,"C","C"
"379",0.54,1,"conj","A1",129521.559534052,"1","A"
"380",0.54,1,"conj","M1",14366774.5564564,"1","M"
"381",0.54,1,"conj","F1",0,"1","F"
"382",0.54,1,"conj","A2",1.82944772428814,"2","A"
"383",0.54,1,"conj","M2",1.43535836707197,"2","M"
"384",0.54,1,"conj","F2",13301268.9408154,"2","F"
"385",0.54,1,"conj","C",992302431.678388,"C","C"
"386",0.55,1,"conj","A1",130143.471732335,"1","A"
"387",0.55,1,"conj","M1",14463493.9269426,"1","M"
"388",0.55,1,"conj","F1",0,"1","F"
"389",0.55,1,"conj","A2",1.87746166666336,"2","A"
"390",0.55,1,"conj","M2",1.47585935754644,"2","M"
"391",0.55,1,"conj","F2",13371720.6763807,"2","F"
"392",0.55,1,"conj","C",992134638.571623,"C","C"
