"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"345",0.49,1,"conj","M1",13516276.0362151,"1","M"
"346",0.49,1,"conj","F1",0,"1","F"
"347",0.49,1,"conj","A2",1.71898421064551,"2","A"
"348",0.49,1,"conj","M2",1.25361860255928,"2","M"
"349",0.49,1,"conj","F2",13412394.1593454,"2","F"
"350",0.49,1,"conj","C",993045418.890437,"C","C"
"351",0.5,1,"conj","A1",126501.28817963,"1","A"
"352",0.5,1,"conj","M1",13599642.9285752,"1","M"
"353",0.5,1,"conj","F1",0,"1","F"
"354",0.5,1,"conj","A2",1.76787913923414,"2","A"
"355",0.5,1,"conj","M2",1.29114417590935,"2","M"
"356",0.5,1,"conj","F2",13492995.6608258,"2","F"
"357",0.5,1,"conj","C",992880857.063396,"C","C"
"358",0.51,1,"conj","A1",127097.430147187,"1","A"
"359",0.51,1,"conj","M1",13683523.8800828,"1","M"
"360",0.51,1,"conj","F1",0,"1","F"
"361",0.51,1,"conj","A2",1.81744295645843,"2","A"
"362",0.51,1,"conj","M2",1.32926504927511,"2","M"
"363",0.51,1,"conj","F2",13574081.4009761,"2","F"
"364",0.51,1,"conj","C",992715294.142086,"C","C"
"365",0.52,1,"conj","A1",127696.380459618,"1","A"
"366",0.52,1,"conj","M1",13767922.0587933,"1","M"
"367",0.52,1,"conj","F1",0,"1","F"
"368",0.52,1,"conj","A2",1.86768352555496,"2","A"
"369",0.52,1,"conj","M2",1.36798933633259,"2","M"
"370",0.52,1,"conj","F2",13655654.287337,"2","F"
"371",0.52,1,"conj","C",992548724.037737,"C","C"
"372",0.53,1,"conj","A1",128298.152335542,"1","A"
"373",0.53,1,"conj","M1",13852840.6522641,"1","M"
"374",0.53,1,"conj","F1",0,"1","F"
"375",0.53,1,"conj","A2",1.91860879740615,"2","A"
"376",0.53,1,"conj","M2",1.40732525500523,"2","M"
"377",0.53,1,"conj","F2",13737717.2448858,"2","F"
"378",0.53,1,"conj","C",992381140.624581,"C","C"
"379",0.54,1,"conj","A1",128902.759055671,"1","A"
"380",0.54,1,"conj","M1",13938282.8676739,"1","M"
"381",0.54,1,"conj","F1",0,"1","F"
"382",0.54,1,"conj","A2",1.97022681149602,"2","A"
"383",0.54,1,"conj","M2",1.4472811287678,"2","M"
"384",0.54,1,"conj","F2",13820273.2161407,"2","F"
"385",0.54,1,"conj","C",992212537.739622,"C","C"
"386",0.55,1,"conj","A1",129510.213963101,"1","A"
"387",0.55,1,"conj","M1",14024251.9319437,"1","M"
"388",0.55,1,"conj","F1",0,"1","F"
"389",0.55,1,"conj","A2",2.02254569687641,"2","A"
"390",0.55,1,"conj","M2",1.48786538796644,"2","M"
"391",0.55,1,"conj","F2",13903325.1612661,"2","F"
"392",0.55,1,"conj","C",992042909.182416,"C","C"
"393",0.56,1,"conj","A1",130120.530463599,"1","A"
"394",0.56,1,"conj","M1",14110751.0918573,"1","M"
"395",0.56,1,"conj","F1",0,"1","F"
"396",0.56,1,"conj","A2",2.07557367314352,"2","A"
"397",0.56,1,"conj","M2",1.529086571155,"2","M"
"398",0.56,1,"conj","F2",13986876.0581778,"2","F"
"399",0.56,1,"conj","C",991872248.714841,"C","C"
"400",0.57,1,"conj","A1",130733.722025902,"1","A"
"401",0.57,1,"conj","M1",14197783.6141843,"1","M"
"402",0.57,1,"conj","F1",0,"1","F"
"403",0.57,1,"conj","A2",2.12931905142501,"2","A"
"404",0.57,1,"conj","M2",1.57095332644786,"2","M"
"405",0.57,1,"conj","F2",14070928.9026494,"2","F"
"406",0.57,1,"conj","C",991700550.060868,"C","C"
"407",0.58,1,"conj","A1",131349.802182007,"1","A"
"408",0.58,1,"conj","M1",14285352.7858017,"1","M"
"409",0.58,1,"conj","F1",0,"1","F"
"410",0.58,1,"conj","A2",2.18379023537784,"2","A"
"411",0.58,1,"conj","M2",1.61347441288945,"2","M"
