SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-high,270,0.6000000000000005,-0.28,6.210471860634565e-12,0.10999999999999999
pHFC_S.pB10-high,271,0.8000000000000007,-0.28,9.842934573891032e-12,0.10999999999999999
pHFC_S.pB10-high,272,1,-0.28,1.56e-11,0.10999999999999999
pHFC_S.pB10-high,273,1.2000000000000002,-0.28,2.4724333802393383e-11,0.10999999999999999
pHFC_S.pB10-high,274,1.4000000000000004,-0.28,3.918542833154948e-11,0.10999999999999999
pHFC_S.pB10-high,275,1.6000000000000005,-0.28,6.210471860634565e-11,0.10999999999999999
pHFC_S.pB10-high,276,1.8000000000000007,-0.28,9.842934573891031e-11,0.10999999999999999
pHFC_S.pB10-high,277,2,-0.28,1.56e-10,0.10999999999999999
pHFC_S.pB10-high,278,2.2,-0.28,2.472433380239338e-10,0.10999999999999999
pHFC_S.pB10-high,279,2.4000000000000004,-0.28,3.918542833154948e-10,0.10999999999999999
pHFC_S.pB10-high,280,2.6000000000000005,-0.28,6.210471860634565e-10,0.10999999999999999
pHFC_S.pB10-high,281,2.8000000000000007,-0.28,9.84293457389103e-10,0.10999999999999999
pHFC_S.pB10-high,282,3,-0.28,1.56e-9,0.10999999999999999
pHFC_S.pB10-high,283,3.2,-0.28,2.4724333802393378e-9,0.10999999999999999
pHFC_S.pB10-high,284,3.4000000000000004,-0.28,3.918542833154948e-9,0.10999999999999999
pHFC_S.pB10-high,285,3.6000000000000005,-0.28,6.2104718606345645e-9,0.10999999999999999
pHFC_S.pB10-high,286,3.8000000000000007,-0.28,9.842934573891031e-9,0.10999999999999999
pHFC_S.pB10-high,287,4,-0.28,1.56e-8,0.10999999999999999
pHFC_S.pB10-high,288,-4,-0.26,1.5600000000000002e-16,0.13
pHFC_S.pB10-high,289,-3.8,-0.26,2.472433380239338e-16,0.13
pHFC_S.pB10-high,290,-3.6,-0.26,3.918542833154944e-16,0.13
pHFC_S.pB10-high,291,-3.4,-0.26,6.210471860634559e-16,0.13
pHFC_S.pB10-high,292,-3.2,-0.26,9.84293457389101e-16,0.13
pHFC_S.pB10-high,293,-3,-0.26,1.5600000000000001e-15,0.13
