SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M
pHFC_S.pB10-low,179,-1.1999999999999997,-0.32,1.0158413246131116e-15,-0.030000000000000027
pHFC_S.pB10-low,180,-1,-0.32,1.61e-15,-0.030000000000000027
pHFC_S.pB10-low,181,-0.7999999999999998,-0.32,2.551678039862394e-15,-0.030000000000000027
pHFC_S.pB10-low,182,-0.5999999999999996,-0.32,4.044137154730427e-15,-0.030000000000000027
pHFC_S.pB10-low,183,-0.3999999999999999,-0.32,6.409525445911306e-15,-0.030000000000000027
pHFC_S.pB10-low,184,-0.19999999999999973,-0.32,1.0158413246131116e-14,-0.030000000000000027
pHFC_S.pB10-low,185,0,-0.32,1.61e-14,-0.030000000000000027
pHFC_S.pB10-low,186,0.20000000000000018,-0.32,2.5516780398623934e-14,-0.030000000000000027
pHFC_S.pB10-low,187,0.40000000000000036,-0.32,4.0441371547304276e-14,-0.030000000000000027
pHFC_S.pB10-low,188,0.6000000000000005,-0.32,6.409525445911313e-14,-0.030000000000000027
pHFC_S.pB10-low,189,0.8000000000000007,-0.32,1.0158413246131127e-13,-0.030000000000000027
pHFC_S.pB10-low,190,1,-0.32,1.61e-13,-0.030000000000000027
pHFC_S.pB10-low,191,1.2000000000000002,-0.32,2.5516780398623937e-13,-0.030000000000000027
pHFC_S.pB10-low,192,1.4000000000000004,-0.32,4.044137154730427e-13,-0.030000000000000027
pHFC_S.pB10-low,193,1.6000000000000005,-0.32,6.409525445911314e-13,-0.030000000000000027
pHFC_S.pB10-low,194,1.8000000000000007,-0.32,1.0158413246131127e-12,-0.030000000000000027
pHFC_S.pB10-low,195,2,-0.32,1.6099999999999998e-12,-0.030000000000000027
pHFC_S.pB10-low,196,2.2,-0.32,2.551678039862394e-12,-0.030000000000000027
pHFC_S.pB10-low,197,2.4000000000000004,-0.32,4.044137154730427e-12,-0.030000000000000027
pHFC_S.pB10-low,198,2.6000000000000005,-0.32,6.409525445911313e-12,-0.030000000000000027
pHFC_S.pB10-low,199,2.8000000000000007,-0.32,1.0158413246131126e-11,-0.030000000000000027
pHFC_S.pB10-low,200,3,-0.32,1.6099999999999998e-11,-0.030000000000000027
pHFC_S.pB10-low,201,3.2,-0.32,2.5516780398623935e-11,-0.030000000000000027
pHFC_S.pB10-low,202,3.4000000000000004,-0.32,4.0441371547304267e-11,-0.030000000000000027
pHFC_S.pB10-low,203,3.6000000000000005,-0.32,6.409525445911314e-11,-0.030000000000000027
pHFC_S.pB10-low,204,3.8000000000000007,-0.32,1.0158413246131128e-10,-0.030000000000000027
pHFC_S.pB10-low,205,4,-0.32,1.6099999999999999e-10,-0.030000000000000027
pHFC_S.pB10-low,206,-4,-0.30000000000000004,1.61e-18,-0.010000000000000064
pHFC_S.pB10-low,207,-3.8,-0.30000000000000004,2.5516780398623938e-18,-0.010000000000000064
pHFC_S.pB10-low,208,-3.6,-0.30000000000000004,4.044137154730423e-18,-0.010000000000000064
pHFC_S.pB10-low,209,-3.4,-0.30000000000000004,6.409525445911307e-18,-0.010000000000000064
pHFC_S.pB10-low,210,-3.2,-0.30000000000000004,1.0158413246131107e-17,-0.010000000000000064
pHFC_S.pB10-low,211,-3,-0.30000000000000004,1.61e-17,-0.010000000000000064
pHFC_S.pB10-low,212,-2.8,-0.30000000000000004,2.5516780398623936e-17,-0.010000000000000064
pHFC_S.pB10-low,213,-2.5999999999999996,-0.30000000000000004,4.044137154730427e-17,-0.010000000000000064
pHFC_S.pB10-low,214,-2.4,-0.30000000000000004,6.409525445911307e-17,-0.010000000000000064
pHFC_S.pB10-low,215,-2.2,-0.30000000000000004,1.0158413246131107e-16,-0.010000000000000064
pHFC_S.pB10-low,216,-2,-0.30000000000000004,1.61e-16,-0.010000000000000064
pHFC_S.pB10-low,217,-1.7999999999999998,-0.30000000000000004,2.5516780398623935e-16,-0.010000000000000064
pHFC_S.pB10-low,218,-1.5999999999999996,-0.30000000000000004,4.0441371547304273e-16,-0.010000000000000064
pHFC_S.pB10-low,219,-1.4,-0.30000000000000004,6.409525445911307e-16,-0.010000000000000064
pHFC_S.pB10-low,220,-1.1999999999999997,-0.30000000000000004,1.0158413246131116e-15,-0.010000000000000064
pHFC_S.pB10-low,221,-1,-0.30000000000000004,1.61e-15,-0.010000000000000064
pHFC_S.pB10-low,222,-0.7999999999999998,-0.30000000000000004,2.551678039862394e-15,-0.010000000000000064
pHFC_S.pB10-low,223,-0.5999999999999996,-0.30000000000000004,4.044137154730427e-15,-0.010000000000000064
pHFC_S.pB10-low,224,-0.3999999999999999,-0.30000000000000004,6.409525445911306e-15,-0.010000000000000064
pHFC_S.pB10-low,225,-0.19999999999999973,-0.30000000000000004,1.0158413246131116e-14,-0.010000000000000064
pHFC_S.pB10-low,226,0,-0.30000000000000004,1.61e-14,-0.010000000000000064
pHFC_S.pB10-low,227,0.20000000000000018,-0.30000000000000004,2.5516780398623934e-14,-0.010000000000000064
pHFC_S.pB10-low,228,0.40000000000000036,-0.30000000000000004,4.0441371547304276e-14,-0.010000000000000064
