"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"255",0.36,1,"conj","F1",0,"1","F"
"256",0.36,1,"conj","A2",3.97971407029528,"2","A"
"257",0.36,1,"conj","M2",0,"2","M"
"258",0.36,1,"conj","F2",11326213.834106,"2","F"
"259",0.36,1,"conj","C",997174650.589649,"C","C"
"260",0.37,1,"conj","A1",111191.521007379,"1","A"
"261",0.37,1,"conj","M1",11532617.1632817,"1","M"
"262",0.37,1,"conj","F1",0,"1","F"
"263",0.37,1,"conj","A2",4.1092546341964,"2","A"
"264",0.37,1,"conj","M2",0,"2","M"
"265",0.37,1,"conj","F2",11365461.8527879,"2","F"
"266",0.37,1,"conj","C",997090724.726195,"C","C"
"267",0.38,1,"conj","A1",111510.774567632,"1","A"
"268",0.38,1,"conj","M1",11577147.7649045,"1","M"
"269",0.38,1,"conj","F1",0,"1","F"
"270",0.38,1,"conj","A2",4.23991662440958,"2","A"
"271",0.38,1,"conj","M2",0,"2","M"
"272",0.38,1,"conj","F2",11404845.8418444,"2","F"
"273",0.38,1,"conj","C",997006490.730703,"C","C"
"274",0.39,1,"conj","A1",111830.944501447,"1","A"
"275",0.39,1,"conj","M1",11621850.273906,"1","M"
"276",0.39,1,"conj","F1",0,"1","F"
"277",0.39,1,"conj","A2",4.37170801507739,"2","A"
"278",0.39,1,"conj","M2",0,"2","M"
"279",0.39,1,"conj","F2",11444366.2720861,"2","F"
"280",0.39,1,"conj","C",996921947.468931,"C","C"
"281",0.4,1,"conj","A1",112152.033437341,"1","A"
"282",0.4,1,"conj","M1",11666725.3536336,"1","M"
"283",0.4,1,"conj","F1",0,"1","F"
"284",0.4,1,"conj","A2",4.50463683338176,"2","A"
"285",0.4,1,"conj","M2",0,"2","M"
"286",0.4,1,"conj","F2",11484023.6159521,"2","F"
"287",0.4,1,"conj","C",996837093.802454,"C","C"
"288",0.41,1,"conj","A1",112474.04401136,"1","A"
"289",0.41,1,"conj","M1",11711773.6699923,"1","M"
"290",0.41,1,"conj","F1",0,"1","F"
"291",0.41,1,"conj","A2",4.6387111598873,"2","A"
"292",0.41,1,"conj","M2",0,"2","M"
"293",0.41,1,"conj","F2",11523818.3475154,"2","F"
"294",0.41,1,"conj","C",996751928.588649,"C","C"
"295",0.42,1,"conj","A1",112796.978867101,"1","A"
"296",0.42,1,"conj","M1",11756995.8914541,"1","M"
"297",0.42,1,"conj","F1",0,"1","F"
"298",0.42,1,"conj","A2",4.77393912888673,"2","A"
"299",0.42,1,"conj","M2",0,"2","M"
"300",0.42,1,"conj","F2",11563750.9424887,"2","F"
"301",0.42,1,"conj","C",996666450.680677,"C","C"
"302",0.43,1,"conj","A1",113120.840655727,"1","A"
"303",0.43,1,"conj","M1",11802392.6890684,"1","M"
"304",0.43,1,"conj","F1",0,"1","F"
