"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"309",0.44,1,"conj","A1",1.13445632949745,"1","A"
"310",0.44,1,"conj","M1",11847964.8646811,"1","M"
"311",0.44,1,"conj","F1",0,"1","F"
"312",0.44,1,"conj","A2",0,"2","A"
"313",0.44,1,"conj","M2",0,"2","M"
"314",0.44,1,"conj","F2",11644036.8578465,"2","F"
"315",0.44,1,"conj","C",996507997.366823,"C","C"
"316",0.45,1,"conj","A1",1.13771356634315,"1","A"
"317",0.45,1,"conj","M1",11893712.8447341,"1","M"
"318",0.45,1,"conj","F1",0,"1","F"
"319",0.45,1,"conj","A2",0,"2","A"
"320",0.45,1,"conj","M2",0,"2","M"
"321",0.45,1,"conj","F2",11684386.0615637,"2","F"
"322",0.45,1,"conj","C",996421900.157675,"C","C"
"323",0.46,1,"conj","A1",1.14098015252233,"1","A"
"324",0.46,1,"conj","M1",11939637.4298491,"1","M"
"325",0.46,1,"conj","F1",0,"1","F"
"326",0.46,1,"conj","A2",0,"2","A"
"327",0.46,1,"conj","M2",0,"2","M"
"328",0.46,1,"conj","F2",11724875.0495038,"2","F"
"329",0.46,1,"conj","C",996335486.559007,"C","C"
"330",0.47,1,"conj","A1",1.14425611485173,"1","A"
"331",0.47,1,"conj","M1",11985739.3014862,"1","M"
"332",0.47,1,"conj","F1",0,"1","F"
"333",0.47,1,"conj","A2",0,"2","A"
"334",0.47,1,"conj","M2",0,"2","M"
"335",0.47,1,"conj","F2",11765504.3056748,"2","F"
"336",0.47,1,"conj","C",996248755.405349,"C","C"
"337",0.48,1,"conj","A1",1.14754148022493,"1","A"
"338",0.48,1,"conj","M1",12032019.1437325,"1","M"
"339",0.48,1,"conj","F1",0,"1","F"
"340",0.48,1,"conj","A2",0,"2","A"
"341",0.48,1,"conj","M2",0,"2","M"
"342",0.48,1,"conj","F2",11806274.3157585,"2","F"
"343",0.48,1,"conj","C",996161705.52693,"C","C"
"344",0.49,1,"conj","A1",1.15083627561248,"1","A"
"345",0.49,1,"conj","M1",12078477.6433124,"1","M"
"346",0.49,1,"conj","F1",0,"1","F"
"347",0.49,1,"conj","A2",0,"2","A"
"348",0.49,1,"conj","M2",0,"2","M"
"349",0.49,1,"conj","F2",11847185.5671165,"2","F"
"350",0.49,1,"conj","C",996074335.749662,"C","C"
"351",0.5,1,"conj","A1",1.15414052806218,"1","A"
"352",0.5,1,"conj","M1",12125115.4895976,"1","M"
"353",0.5,1,"conj","F1",0,"1","F"
"354",0.5,1,"conj","A2",0,"2","A"
"355",0.5,1,"conj","M2",0,"2","M"
"356",0.5,1,"conj","F2",11888238.5487962,"2","F"
"357",0.5,1,"conj","C",995986644.895124,"C","C"
"358",0.51,1,"conj","A1",1.15745426469927,"1","A"
"359",0.51,1,"conj","M1",12171933.3746175,"1","M"
"360",0.51,1,"conj","F1",0,"1","F"
"361",0.51,1,"conj","A2",0,"2","A"
"362",0.51,1,"conj","M2",0,"2","M"
"363",0.51,1,"conj","F2",11929433.7515359,"2","F"
"364",0.51,1,"conj","C",995898631.780547,"C","C"
"365",0.52,1,"conj","A1",1.16077751272668,"1","A"
"366",0.52,1,"conj","M1",12218931.9930693,"1","M"
"367",0.52,1,"conj","F1",0,"1","F"
"368",0.52,1,"conj","A2",0,"2","A"
"369",0.52,1,"conj","M2",0,"2","M"
"370",0.52,1,"conj","F2",11970771.6677717,"2","F"
"371",0.52,1,"conj","C",995810295.218795,"C","C"
"372",0.53,1,"conj","A1",1.16411029942519,"1","A"
"373",0.53,1,"conj","M1",12266112.0423282,"1","M"
"374",0.53,1,"conj","F1",0,"1","F"
"375",0.53,1,"conj","A2",0,"2","A"
"376",0.53,1,"conj","M2",0,"2","M"
"377",0.53,1,"conj","F2",12012252.7916424,"2","F"
"378",0.53,1,"conj","C",995721634.018352,"C","C"
"379",0.54,1,"conj","A1",1.16745265215373,"1","A"
"380",0.54,1,"conj","M1",12313474.222458,"1","M"
"381",0.54,1,"conj","F1",0,"1","F"
"382",0.54,1,"conj","A2",0,"2","A"
"383",0.54,1,"conj","M2",1.00772408597864,"2","M"
"384",0.54,1,"conj","F2",12053877.6189958,"2","F"
"385",0.54,1,"conj","C",995632646.983305,"C","C"
"386",0.55,1,"conj","A1",1.17080459834954,"1","A"
"387",0.55,1,"conj","M1",12361019.236221,"1","M"
"388",0.55,1,"conj","F1",0,"1","F"
"389",0.55,1,"conj","A2",0,"2","A"
"390",0.55,1,"conj","M2",1.03218801311774,"2","M"
