...1,Time,Cycle,Phase,Cell_types,Density,Host,Genotype,Genotype_plot
339,0.48,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
340,0.48,1,conj,A2,0,nalR,Ancestor,Ancestor
341,0.48,1,conj,M2,0,nalR,Mutant,Mutant
342,0.48,1,conj,F2,11806274.3157585,nalR,Plasmid-free,Plasmid-free
344,0.49,1,conj,A1,1.15083627561248,rifR,Ancestor,Ancestor
345,0.49,1,conj,M1,12078477.6433124,rifR,Mutant,Mutant
346,0.49,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
347,0.49,1,conj,A2,0,nalR,Ancestor,Ancestor
348,0.49,1,conj,M2,0,nalR,Mutant,Mutant
349,0.49,1,conj,F2,11847185.5671165,nalR,Plasmid-free,Plasmid-free
351,0.5,1,conj,A1,1.15414052806218,rifR,Ancestor,Ancestor
352,0.5,1,conj,M1,12125115.4895976,rifR,Mutant,Mutant
353,0.5,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
354,0.5,1,conj,A2,0,nalR,Ancestor,Ancestor
355,0.5,1,conj,M2,0,nalR,Mutant,Mutant
356,0.5,1,conj,F2,11888238.5487962,nalR,Plasmid-free,Plasmid-free
358,0.51,1,conj,A1,1.15745426469927,rifR,Ancestor,Ancestor
359,0.51,1,conj,M1,12171933.3746175,rifR,Mutant,Mutant
360,0.51,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
361,0.51,1,conj,A2,0,nalR,Ancestor,Ancestor
362,0.51,1,conj,M2,0,nalR,Mutant,Mutant
363,0.51,1,conj,F2,11929433.7515359,nalR,Plasmid-free,Plasmid-free
365,0.52,1,conj,A1,1.16077751272668,rifR,Ancestor,Ancestor
366,0.52,1,conj,M1,12218931.9930693,rifR,Mutant,Mutant
367,0.52,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
368,0.52,1,conj,A2,0,nalR,Ancestor,Ancestor
369,0.52,1,conj,M2,0,nalR,Mutant,Mutant
370,0.52,1,conj,F2,11970771.6677717,nalR,Plasmid-free,Plasmid-free
372,0.53,1,conj,A1,1.16411029942519,rifR,Ancestor,Ancestor
373,0.53,1,conj,M1,12266112.0423282,rifR,Mutant,Mutant
374,0.53,1,conj,F1,0,rifR,Plasmid-free,Plasmid-free
375,0.53,1,conj,A2,0,nalR,Ancestor,Ancestor
376,0.53,1,conj,M2,0,nalR,Mutant,Mutant
377,0.53,1,conj,F2,12012252.7916424,nalR,Plasmid-free,Plasmid-free
379,0.54,1,conj,A1,1.16745265215373,rifR,Ancestor,Ancestor
380,0.54,1,conj,M1,12313474.222458,rifR,Mutant,Mutant
