"","Time","Cycle","Phase","Cell_types","Density","Host","Genotype"
"450",0.64,1,"conj","M1",12797.2804011111,"1","M"
"451",0.64,1,"conj","F1",0,"1","F"
"452",0.64,1,"conj","A2",805.777156932668,"2","A"
"453",0.64,1,"conj","M2",0,"2","M"
"454",0.64,1,"conj","F2",12477330.5513856,"2","F"
"455",0.64,1,"conj","C",995504974.684369,"C","C"
"456",0.65,1,"conj","A1",12048586.070191,"1","A"
"457",0.65,1,"conj","M1",12846.6934331972,"1","M"
"458",0.65,1,"conj","F1",0,"1","F"
"459",0.65,1,"conj","A2",822.189902524483,"2","A"
"460",0.65,1,"conj","M2",0,"2","M"
"461",0.65,1,"conj","F2",12520552.7933894,"2","F"
"462",0.65,1,"conj","C",995427192.251794,"C","C"
"463",0.66,1,"conj","A1",12083179.4468723,"1","A"
"464",0.66,1,"conj","M1",12896.2972210027,"1","M"
"465",0.66,1,"conj","F1",0,"1","F"
"466",0.66,1,"conj","A2",838.739220821733,"2","A"
"467",0.66,1,"conj","M2",0,"2","M"
"468",0.66,1,"conj","F2",12563924.6855766,"2","F"
"469",0.66,1,"conj","C",995349160.829792,"C","C"
"470",0.67,1,"conj","A1",12117872.1195023,"1","A"
"471",0.67,1,"conj","M1",12946.0925006486,"1","M"
"472",0.67,1,"conj","F1",0,"1","F"
"473",0.67,1,"conj","A2",855.426071223855,"2","A"
"474",0.67,1,"conj","M2",0,"2","M"
"475",0.67,1,"conj","F2",12607446.7455994,"2","F"
"476",0.67,1,"conj","C",995270879.614981,"C","C"
"477",0.68,1,"conj","A1",12152664.3729289,"1","A"
"478",0.68,1,"conj","M1",12996.0800110945,"1","M"
"479",0.68,1,"conj","F1",0,"1","F"
"480",0.68,1,"conj","A2",872.251419480641,"2","A"
"481",0.68,1,"conj","M2",0,"2","M"
"482",0.68,1,"conj","F2",12651119.4928971,"2","F"
"483",0.68,1,"conj","C",995192347.801371,"C","C"
"484",0.69,1,"conj","A1",12187556.492816,"1","A"
"485",0.69,1,"conj","M1",13046.2604941496,"1","M"
"486",0.69,1,"conj","F1",0,"1","F"
"487",0.69,1,"conj","A2",889.216237733247,"2","A"
"488",0.69,1,"conj","M2",0,"2","M"
"489",0.69,1,"conj","F2",12694943.4487028,"2","F"
"490",0.69,1,"conj","C",995113564.580348,"C","C"
"491",0.7,1,"conj","A1",12222548.7656459,"1","A"
"492",0.7,1,"conj","M1",13096.6346944836,"1","M"
"493",0.7,1,"conj","F1",0,"1","F"
"494",0.7,1,"conj","A2",906.321504555458,"2","A"
"495",0.7,1,"conj","M2",0,"2","M"
"496",0.7,1,"conj","F2",12738919.1360489,"2","F"
"497",0.7,1,"conj","C",995034529.140677,"C","C"
"498",0.71,1,"conj","A1",12257641.4787214,"1","A"
"499",0.71,1,"conj","M1",13147.2033596379,"1","M"
