"","time","cell_types","density","host","genotype"
"541",0.76,"M1",13402972.8769485,"1","M"
"542",0.76,"F1",0,"1","F"
"543",0.76,"A2",1.0119920527704,"2","A"
"544",0.76,"M2",1.60591282625932,"2","M"
"545",0.76,"F2",13007005.3355831,"2","F"
"546",0.76,"C",993587584.559643,"C","C"
"547",0.77,"A1",12470.3109744128,"1","A"
"548",0.77,"M1",13454723.6238104,"1","M"
"549",0.77,"F1",0,"1","F"
"550",0.77,"A2",1.03010950451192,"2","A"
"551",0.77,"M2",1.63627684205222,"2","M"
"552",0.77,"F2",13052076.1970878,"2","F"
"553",0.77,"C",993490727.201741,"C","C"
"554",0.78,"A1",12506.1144952122,"1","A"
"555",0.78,"M1",13506674.1370542,"1","M"
"556",0.78,"F1",0,"1","F"
"557",0.78,"A2",1.04837549307497,"2","A"
"558",0.78,"M2",1.66693541816225,"2","M"
"559",0.78,"F2",13097303.1905578,"2","F"
"560",0.78,"C",993393513.842582,"C","C"
"561",0.79,"A1",12542.020776516,"1","A"
"562",0.79,"M1",13558825.1874201,"1","M"
"563",0.79,"F1",0,"1","F"
"564",0.79,"A2",1.06679105711333,"2","A"
"565",0.79,"M2",1.69789099274852,"2","M"
"566",0.79,"F2",13142686.8565328,"2","F"
"567",0.79,"C",993295943.170588,"C","C"
"568",0.8,"A1",12578.030113023,"1","A"
"569",0.8,"M1",13611177.5486187,"1","M"
"570",0.8,"F1",0,"1","F"
"571",0.8,"A2",1.0853572421436,"2","A"
"572",0.8,"M2",1.72914602292263,"2","M"
"573",0.8,"F2",13188227.7374218,"2","F"
"574",0.8,"C",993198013.869343,"C","C"
"575",0.81,"A1",12614.1428002756,"1","A"
"576",0.81,"M1",13663731.9973429,"1","M"
"577",0.81,"F1",0,"1","F"
"578",0.81,"A2",1.1040751005895,"2","A"
"579",0.81,"M2",1.7607029848917,"2","M"
"580",0.81,"F2",13233926.3775087,"2","F"
"581",0.81,"C",993099724.61757,"C","C"
"582",0.82,"A1",12650.3591346619,"1","A"
"583",0.82,"M1",13716489.3132788,"1","M"
"584",0.82,"F1",0,"1","F"
"585",0.82,"A2",1.12294569182639,"2","A"
"586",0.82,"M2",1.79256437410252,"2","M"
"587",0.82,"F2",13279783.3229597,"2","F"
"588",0.82,"C",993001074.089116,"C","C"
"589",0.83,"A1",12686.6794134186,"1","A"
"590",0.83,"M1",13769450.2791177,"1","M"
"591",0.83,"F1",0,"1","F"
"592",0.83,"A2",1.14197008222619,"2","A"
"593",0.83,"M2",1.82473270538678,"2","M"
"594",0.83,"F2",13325799.1218293,"2","F"
"595",0.83,"C",992902060.952936,"C","C"
"596",0.84,"A1",12723.103934633,"1","A"
"597",0.84,"M1",13822615.6805673,"1","M"
"598",0.84,"F1",0,"1","F"
"599",0.84,"A2",1.16114934520245,"2","A"
"600",0.84,"M2",1.85721051310732,"2","M"
"601",0.84,"F2",13371974.3240668,"2","F"
"602",0.84,"C",992802683.873071,"C","C"
"603",0.85,"A1",12759.6329972454,"1","A"
"604",0.85,"M1",13875986.3063638,"1","M"
"605",0.85,"F1",0,"1","F"
"606",0.85,"A2",1.18048456125582,"2","A"
"607",0.85,"M2",1.8900003513055,"2","M"
"608",0.85,"F2",13418309.4815228,"2","F"
"609",0.85,"C",992702941.508631,"C","C"
"610",0.86,"A1",12796.2669010521,"1","A"
"611",0.86,"M1",13929562.9482828,"1","M"
"612",0.86,"F1",0,"1","F"
"613",0.86,"A2",1.19997681801973,"2","A"
"614",0.86,"M2",1.92310479384972,"2","M"
"615",0.86,"F2",13464805.1479561,"2","F"
"616",0.86,"C",992602832.513778,"C","C"
