SetID,SweepID,gamma_M,psi_M,end_time,A1,M1,A2,M2,log_gamma_M,Anc,Mut,Anc_freq,Mut_freq,Mut_freq0,Mut_freq_change,Mut_freq_inv,log_Mut_freq0,log_Mut_freq_change,log_Mut_freq_change2
pDGs_S.pB10,1369,1.3548777430521106e-13,0.5168163265306123,72,0,0,1000536551.8399248,0,-12.868099891441457,1000536551.8399248,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1370,1.9731741382942637e-13,0.5168163265306123,72,0,0,1000536551.8399218,0,-12.704834585319007,1000536551.8399218,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1371,2.8736291521496804e-13,0.5168163265306123,72,0,0,1000536551.8399588,0,-12.541569279196558,1000536551.8399588,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1372,4.185005440636379e-13,0.5168163265306123,72,0,0,1000536551.839949,0,-12.37830397307411,1000536551.839949,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1373,6.094826301805217e-13,0.5168163265306123,72,0,0,1000536551.8399051,0,-12.21503866695166,1000536551.8399051,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1374,8.87619100526853e-13,0.5168163265306123,72,0,0,1000536551.839869,0,-12.051773360829213,1000536551.839869,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1375,1.2926827256533114e-12,0.5168163265306123,72,0,0,1000535788.903932,763.1504927816601,-11.888508054706762,1000535788.903932,763.1504927816601,0.9999992372587576,7.627412424010553e-7,1.9999996000000803e-07,5.627412824010473e-7,Increase,-6.698970091194907,0.5813473210803366,0.0867825796198759
pDGs_S.pB10,1376,1.882596519397351e-12,0.5168163265306123,72,0,0,1000535440.3506684,1111.801748972241,-11.725242748584314,1000535440.3506684,1111.801748972241,0.9999988887944707,1.1112055292537417e-6,1.9999996000000803e-07,9.112055692537337e-7,Increase,-6.698970091194907,0.7447644849381581,0.11117722722466965
pDGs_S.pB10,1377,2.741716574773475e-12,0.5168163265306123,72,0,0,1000534932.2995794,1619.995649974085,-11.561977442461865,1000534932.2995794,1619.995649974085,0.9999983808730963,1.6191269037176277e-6,1.9999996000000803e-07,1.4191269437176196e-6,Increase,-6.698970091194907,0.9082509803586571,0.13558222453202515
pDGs_S.pB10,1378,3.992894759411276e-12,0.5168163265306123,72,0,0,1000534191.4743491,2361.029155766785,-11.398712136339416,1000534191.4743491,2361.029155766785,0.999997640236981,2.3597630190112563e-6,1.9999996000000803e-07,2.159763059011248e-6,Increase,-6.698970091194907,1.0718384820025388,0.16000229988361503
pDGs_S.pB10,1379,5.8150462036913094e-12,0.5168163265306123,72,0,0,1000533110.608021,3442.199419567182,-11.235446830216967,1000533110.608021,3442.199419567182,0.9999965596465117,3.440353488244476e-6,1.9999996000000803e-07,3.240353528244468e-6,Increase,-6.698970091194907,1.2355731587975178,0.18444434530164375
pDGs_S.pB10,1380,8.468733685345229e-12,0.5168163265306123,72,0,0,1000531532.309206,5020.941960235545,-11.072181524094518,1000531532.309206,5020.941960235545,0.9999949817505979,5.018249402203629e-6,1.9999996000000803e-07,4.818249442203621e-6,Increase,-6.698970091194907,1.3995223327309345,0.2089184105025453
pDGs_S.pB10,1381,1.2333427409015975e-11,0.5168163265306123,72,0,0,1000529224.8598402,7329.040048479817,-10.90891621797207,1000529224.8598402,7329.040048479817,0.9999926748902677,7.325109732285847e-6,1.9999996000000803e-07,7.125109772285839e-6,Increase,-6.698970091194907,1.5637842261281225,0.23343915795479533
pDGs_S.pB10,1382,1.796176822949261e-11,0.5168163265306123,72,0,0,1000525845.4502023,10709.3997955976,-10.74565091184962,1000525845.4502023,10709.3997955976,0.9999892963433032,1.0703656696684279e-5,1.9999996000000803e-07,1.0503656736684272e-5,Increase,-6.698970091194907,1.7285022625148985,0.2580279976883315
pDGs_S.pB10,1383,2.6158593814251675e-11,0.5168163265306123,72,0,0,1000520883.358592,15672.886445372616,-10.582385605727172,1000520883.358592,15672.886445372616,0.99998433551843,1.566448156996098e-5,1.9999996000000803e-07,1.546448160996097e-5,Increase,-6.698970091194907,1.893886117285854,0.2827162297039721
pDGs_S.pB10,1384,3.8096028274959047e-11,0.5168163265306123,72,0,0,1000513570.0613402,22988.2398430819,-10.419120299604721,1000513570.0613402,22988.2398430819,0.9999770240880731,2.2975911926810313e-5,1.9999996000000803e-07,2.2775911966810304e-5,Increase,-6.698970091194907,2.0602428489863263,0.30754969120039743
pDGs_S.pB10,1385,5.548109277708075e-11,0.5168163265306123,72,0,0,1000502732.5854714,33828.762754967094,-10.255854993482274,1000502732.5854714,33828.762754967094,0.9999661893787176,3.3810621282427424e-5,1.9999996000000803e-07,3.361062132242742e-5,Increase,-6.698970091194907,2.2280232423525987,0.3325956745875825
pDGs_S.pB10,1386,8.079980499600684e-11,0.5168163265306123,72,0,0,1000486544.6770152,50021.222716804936,-10.092589687359824,1000486544.6770152,50021.222716804936,0.9999500056025721,4.999439742796744e-5,1.9999996000000803e-07,4.979439746796743e-5,Increase,-6.698970091194907,2.3978914294819598,0.35795332042147565
pDGs_S.pB10,1387,1.17672672988332e-10,0.5168163265306123,72,0,0,1000462083.5164433,74489.26128292191,-9.929324381237375,1000462083.5164433,74489.26128292191,0.9999255506861922,7.444931380781225e-5,1.9999996000000803e-07,7.424931384781224e-5,Increase,-6.698970091194907,2.5708307904509455,0.38376942607551284
pDGs_S.pB10,1388,1.7137241815005908e-10,0.5168163265306123,72,0,0,1000424492.388432,112090.95993979268,-9.766059075114926,1000424492.388432,112090.95993979268,0.9998879691539466,1.1203084605329647e-4,1.9999996000000803e-07,1.1183084609329646e-4,Increase,-6.698970091194907,2.7483077069573416,0.41026289061713067
pDGs_S.pB10,1389,2.4957796025854517e-10,0.5168163265306123,72,0,0,1000365285.947384,171314.05177481196,-9.602793768992477,1000365285.947384,171314.05177481196,0.9998287778260435,1.7122217395641097e-4,1.9999996000000803e-07,1.7102217399641095e-4,Increase,-6.698970091194907,2.9325300980507656,0.4377633085998252
pDGs_S.pB10,1390,3.6347248244039686e-10,0.5168163265306123,72,0,0,1000268630.9276016,267996.25890255236,-9.43952846287003,1000268630.9276016,267996.25890255236,0.9997321474780427,2.678525219572964e-4,1.9999996000000803e-07,2.676525219972964e-4,Increase,-6.698970091194907,3.1268658310095576,0.46677342975621516
pDGs_S.pB10,1391,5.29342596415672e-10,0.5168163265306123,72,0,0,1000102362.712716,434311.2560111652,-9.276263156747579,1000102362.712716,434311.2560111652,0.9995659217025116,4.3407829748851376e-4,1.9999996000000803e-07,4.3387829752851377e-4,Increase,-6.698970091194907,3.3365381642563787,0.49807297358186375
pDGs_S.pB10,1392,7.709072843665162e-10,0.5168163265306123,72,0,0,999793618.3239728,743142.5613385511,-9.112997850625131,999793618.3239728,743142.5613385511,0.999257256114527,7.42743885473025e-4,1.9999996000000803e-07,7.42543885513025e-4,Increase,-6.698970091194907,3.569809176421527,0.5328952896950802
pDGs_S.pB10,1393,1.1227096498817992e-9,0.5168163265306123,72,0,0,999152493.4945718,1384448.0682347598,-8.94973254450268,999152493.4945718,1384448.0682347598,0.9986162949005437,0.0013837050994561944,1.9999996000000803e-07,0.0013835050994961944,Increase,-6.698970091194907,3.840013632669914,0.573230970083948
pDGs_S.pB10,1394,1.635056489281307e-9,0.5168163265306123,72,0,0,997584640.3617432,2952744.117309806,-8.786467238380233,997584640.3617432,2952744.117309806,0.9970488417893079,0.00295115821069215,1.9999996000000803e-07,0.00295095821073215,Increase,-6.698970091194907,4.168962583713769,0.6223359328139527
pDGs_S.pB10,1395,2.381212028793362e-9,0.5168163265306123,72,0,0,992718732.4500588,7820036.35951766,-8.623201932257784,992718732.4500588,7820036.35951766,0.9921841745634487,0.00781582543655135,1.9999996000000803e-07,0.007815625436591351,Increase,-6.698970091194907,4.591944942214081,0.6854780491930932
pDGs_S.pB10,1396,3.467874512740861e-9,0.5168163265306123,72,0,0,971549223.9388582,28995743.11791747,-8.459936626135335,971549223.9388582,28995743.11791747,0.9710200500001395,0.028979949999860543,1.9999996000000803e-07,0.028979749999900543,Increase,-6.698970091194907,5.161067723026978,0.7704357693862429
pDGs_S.pB10,1397,5.050433766795523e-9,0.5168163265306123,72,0,0,837084352.3032566,163507985.56577107,-8.296671320012885,837084352.3032566,163507985.56577107,0.8365888090708392,0.16341119092916082,1.9999996000000803e-07,0.1634109909292008,Increase,-6.698970091194907,5.912251886306594,0.8825713157199888
pDGs_S.pB10,1398,7.355191526993536e-9,0.5168163265306123,72,0,0,268300239.41149175,733096582.3123338,-8.133406013890436,268300239.41149175,733096582.3123338,0.26792599456191013,0.7320740054380899,1.9999996000000803e-07,0.7320738054381298,Increase,-6.698970091194907,6.563525077347305,0.9797923151231507
pDGs_S.pB10,1399,1.0711721982067093e-8,0.5168163265306123,72,0,0,9849753.493146677,1034402249.7360373,-7.970140707767987,9849753.493146677,1034402249.7360373,0.009432352978675524,0.9905676470213245,1.9999996000000803e-07,0.9905674470213645,Increase,-6.698970091194907,6.69485423055953,0.999396916850516
pDGs_S.pB10,1400,1.5600000000000017e-8,0.5168163265306123,72,0,0,1028820.8995822635,1700797665.707447,-7.806875401645538,1028820.8995822635,1700797665.707447,6.045392451456362e-4,0.9993954607548544,1.9999996000000803e-07,0.9993952607548944,Increase,-6.698970091194907,6.698707463744345,0.9999721212137764
pDGs_S.pB10,1401,1.5600000000000014e-16,0.5331428571428571,72,0,0,1000536551.7567648,0,-15.806875401645538,1000536551.7567648,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1402,2.271903624901943e-16,0.5331428571428571,72,0,0,1000536551.756764,0,-15.643610095523089,1000536551.756764,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1403,3.3086833851555043e-16,0.5331428571428571,72,0,0,1000536551.7568028,0,-15.48034478940064,1000536551.7568028,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1404,4.818596010504882e-16,0.5331428571428571,72,0,0,1000536551.75676,0,-15.31707948327819,1000536551.75676,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1405,7.0175549635923565e-16,0.5331428571428571,72,0,0,1000536551.756762,0,-15.153814177155741,1000536551.756762,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1406,1.0220005487008985e-15,0.5331428571428571,72,0,0,1000536551.75676,0,-14.990548871033294,1000536551.75676,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1407,1.4883889431059898e-15,0.5331428571428571,72,0,0,1000536551.7567627,0,-14.827283564910845,1000536551.7567627,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1408,2.1676129712220946e-15,0.5331428571428571,72,0,0,1000536551.7567408,0,-14.664018258788396,1000536551.7567408,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1409,3.1567998504512458e-15,0.5331428571428571,72,0,0,1000536551.7567405,0,-14.500752952665946,1000536551.7567405,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1410,4.597400655980828e-15,0.5331428571428571,72,0,0,1000536551.7567414,0,-14.337487646543497,1000536551.7567414,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1411,6.695417445800901e-15,0.5331428571428571,72,0,0,1000536551.7568028,0,-14.174222340421048,1000536551.7568028,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1412,9.750861003427414e-15,0.5331428571428571,72,0,0,1000536551.7567618,0,-14.010957034298599,1000536551.7567618,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
pDGs_S.pB10,1413,1.4200651576667772e-14,0.5331428571428571,72,0,0,1000536551.7567422,0,-13.84769172817615,1000536551.7567422,0,1,0,1.9999996000000803e-07,-1.9999996000000803e-07,Decrease,-6.698970091194907,-Inf,NA
