SetID,SweepID,gamma_fold,psi_change,gamma_M,psi_M,end_time,A1,M1,A2,M2
testmut,102,-1.2,0.15999999999999998,8.833402822722708e-16,0.55,77,0,0,10000000,0
testmut,103,-0.7999999999999998,0.15999999999999998,2.2188504694455602e-15,0.55,77,0,0,10000000,0
testmut,104,-0.3999999999999999,0.15999999999999998,5.573500387748963e-15,0.55,77,0,0,10000000,0
testmut,105,0,0.15999999999999998,1.4e-14,0.55,308,0,10000000,0,0
testmut,106,0.4000000000000003,0.15999999999999998,3.5166410041134154e-14,0.55,231,0,0,0,10000000
testmut,107,0.8000000000000003,0.15999999999999998,8.833402822722711e-14,0.55,231,0,0,0,10000000
testmut,108,1.2000000000000002,0.15999999999999998,2.21885046944556e-13,0.55,154,0,10000000,0,0
testmut,109,1.6,0.15999999999999998,5.573500387748963e-13,0.55,154,0,10000000,0,0
testmut,110,2,0.15999999999999998,1.4e-12,0.55,154,0,10000000,0,0
testmut,111,-2,0.2,1.4e-16,0.5900000000000001,77,0,0,10000000,0
testmut,112,-1.6,0.2,3.5166410041134115e-16,0.5900000000000001,77,0,0,10000000,0
testmut,113,-1.2,0.2,8.833402822722708e-16,0.5900000000000001,77,0,0,10000000,0
testmut,114,-0.7999999999999998,0.2,2.2188504694455602e-15,0.5900000000000001,77,0,0,10000000,0
testmut,115,-0.3999999999999999,0.2,5.573500387748963e-15,0.5900000000000001,385,0,0,0,10000000
testmut,116,0,0.2,1.4e-14,0.5900000000000001,308,0,10000000,0,0
testmut,117,0.4000000000000003,0.2,3.5166410041134154e-14,0.5900000000000001,231,0,0,0,10000000
testmut,118,0.8000000000000003,0.2,8.833402822722711e-14,0.5900000000000001,231,0,0,0,10000000
testmut,119,1.2000000000000002,0.2,2.21885046944556e-13,0.5900000000000001,154,0,10000000,0,0
testmut,120,1.6,0.2,5.573500387748963e-13,0.5900000000000001,154,0,10000000,0,0
testmut,121,2,0.2,1.4e-12,0.5900000000000001,154,0,10000000,0,0
